recv_ts_unix,sender_ts_unix,frame_id,sender_est_oneway_ms,machine_clock_diff_ms,label
1779261441.306483,1779261440.635218,254,358.845,671.265,car_A
1779261441.4983976,1779261440.8717484,256,424.289,626.649,car_A
1779261441.711242,1779261441.0666866,258,438.814,644.555,car_A
1779261441.8892858,1779261441.2047598,259,440.584,684.526,car_A
1779261442.097281,1779261441.4384117,261,400.563,658.869,car_A
1779261442.2702932,1779261441.6636877,263,401.670,606.606,car_A
1779261442.4791913,1779261441.8993416,265,396.033,579.850,car_A
1779261442.6652732,1779261441.9889555,266,416.392,676.318,car_A
1779261443.004235,1779261442.1857774,268,392.164,818.458,car_A
1779261443.0580027,1779261442.4356813,270,373.748,622.321,car_A
1779261443.365142,1779261442.664071,272,386.075,701.071,car_A
1779261443.5539434,1779261442.752636,273,382.432,801.307,car_A
1779261443.7971766,1779261443.0807264,276,381.916,716.450,car_A
1779261444.0402102,1779261443.3253195,278,374.341,714.891,car_A
1779261444.269004,1779261443.5255342,280,374.341,743.470,car_A
1779261444.4508574,1779261443.7224934,282,430.797,728.364,car_A
1779261444.6528263,1779261444.016866,285,423.056,635.960,car_A
1779261444.8868308,1779261444.126327,286,423.056,760.504,car_A
1779261445.047908,1779261444.429535,289,400.569,618.373,car_A
1779261445.2938538,1779261444.6285417,291,452.071,665.312,car_A
1779261445.4608219,1779261444.822172,293,353.021,638.650,car_A
1779261445.6788917,1779261445.0223048,295,353.021,656.587,car_A
1779261445.849726,1779261445.2265866,297,345.638,623.139,car_A
1779261446.0606256,1779261445.4214103,299,345.638,639.215,car_A
1779261446.2466333,1779261445.6254377,301,353.592,621.196,car_A
1779261446.4467463,1779261445.826372,303,353.592,620.374,car_A
1779261446.63466,1779261446.025477,305,349.638,609.183,car_A
1779261446.8205893,1779261446.2256808,307,353.712,594.908,car_A
1779261447.0136774,1779261446.4293308,309,349.803,584.347,car_A
1779261447.214761,1779261446.6324072,311,351.923,582.354,car_A
1779261447.4008563,1779261446.8247561,313,351.781,576.100,car_A
1779261447.5965605,1779261447.0270934,315,350.739,569.467,car_A
1779261447.771504,1779261447.1337533,316,350.739,637.751,car_A
1779261447.961667,1779261447.3390598,318,352.277,622.607,car_A
1779261448.1515043,1779261447.5330412,320,353.392,618.463,car_A
1779261448.3319159,1779261447.7319212,322,354.212,599.995,car_A
1779261448.5246193,1779261447.9342306,324,352.485,590.389,car_A
1779261448.7065787,1779261448.1341066,326,400.305,572.472,car_A
1779261448.892347,1779261448.3338706,328,349.032,558.476,car_A
1779261449.0853245,1779261448.4466832,329,349.032,638.641,car_A
1779261449.270519,1779261448.644534,331,357.453,625.985,car_A
1779261449.4684985,1779261448.8391654,333,355.220,629.333,car_A
1779261449.632354,1779261449.0402398,335,352.598,592.114,car_A
1779261449.8954916,1779261449.2451239,337,353.252,650.368,car_A
1779261450.1612294,1779261449.4402208,339,350.699,721.009,car_A
1779261450.4442375,1779261449.641869,341,349.661,802.368,car_A
1779261450.601246,1779261449.8398278,343,348.320,761.418,car_A
1779261450.8521404,1779261450.040019,345,348.320,812.121,car_A
1779261451.0852091,1779261450.2732892,347,397.519,811.920,car_A
1779261451.2950275,1779261450.567606,350,416.604,727.422,car_A
1779261451.537309,1779261450.7650468,352,462.944,772.262,car_A
1779261451.6889884,1779261450.9650178,354,462.677,723.971,car_A
1779261451.9100287,1779261451.2647085,357,462.569,645.320,car_A
1779261452.064347,1779261451.4671109,359,495.775,597.236,car_A
1779261452.3031096,1779261451.6675425,361,449.814,635.567,car_A
1779261452.4480135,1779261451.8693855,363,407.958,578.628,car_A
1779261452.6558795,1779261452.0736196,365,359.024,582.260,car_A
1779261452.8188958,1779261452.272282,367,354.745,546.614,car_A
1779261452.9718997,1779261452.4734569,369,351.938,498.443,car_A
1779261453.1929314,1779261452.5792563,370,351.938,613.675,car_A
1779261453.3568072,1779261452.7772245,372,355.000,579.583,car_A
1779261453.548847,1779261452.920822,373,351.882,628.025,car_A
1779261453.73902,1779261453.1141355,375,324.337,624.885,car_A
1779261453.9069371,1779261453.3187466,377,320.404,588.191,car_A
1779261454.1108665,1779261453.52306,379,369.814,587.806,car_A
1779261454.2517998,1779261453.7147634,381,372.983,537.036,car_A
1779261454.4527545,1779261453.813807,382,397.038,638.947,car_A
1779261454.6116972,1779261454.0206912,384,349.899,591.006,car_A
1779261454.7939625,1779261454.218434,386,351.035,575.528,car_A
1779261454.9816527,1779261454.4207795,388,302.740,560.873,car_A
1779261455.1687427,1779261454.6208043,390,355.926,547.938,car_A
1779261455.324805,1779261454.7251306,391,355.926,599.674,car_A
1779261455.5066836,1779261454.9163382,393,352.286,590.345,car_A
1779261455.6796718,1779261455.1178815,395,349.015,561.790,car_A
1779261455.842674,1779261455.3228364,397,348.620,519.838,car_A
1779261456.0366201,1779261455.533198,399,349.144,503.422,car_A
1779261456.2046523,1779261455.6244283,400,349.144,580.224,car_A
1779261456.3824608,1779261455.8333566,402,354.114,549.104,car_A
1779261456.5635219,1779261456.0290189,404,301.818,534.503,car_A
1779261456.7155242,1779261456.2270124,406,298.537,488.512,car_A
1779261456.8985965,1779261456.325427,407,298.537,573.169,car_A
1779261457.0665977,1779261456.5282736,409,350.565,538.324,car_A
1779261457.2543862,1779261456.7400856,411,304.071,514.301,car_A
1779261457.4037015,1779261456.831626,412,304.071,572.076,car_A
1779261457.5554385,1779261457.0307195,414,302.373,524.719,car_A
1779261457.726601,1779261457.2310634,416,306.661,495.538,car_A
1779261457.886309,1779261457.3334723,417,306.661,552.837,car_A
1779261458.0262818,1779261457.5321078,419,296.757,494.174,car_A
1779261458.1984892,1779261457.7342787,421,301.584,464.211,car_A
1779261458.355733,1779261457.8306105,422,301.584,525.122,car_A
1779261458.5045338,1779261458.0303414,424,299.845,474.192,car_A
1779261458.6405303,1779261458.2315838,426,300.682,408.947,car_A
1779261458.78325,1779261458.3317478,427,300.682,451.502,car_A
1779261458.9123948,1779261458.531497,429,300.711,380.898,car_A
1779261459.0432942,1779261458.6373298,430,300.711,405.964,car_A
1779261459.1782403,1779261458.7322123,431,303.555,446.028,car_A
1779261459.3823187,1779261458.973521,433,250.377,408.798,car_A
1779261459.517206,1779261459.0682957,434,320.951,448.910,car_A
1779261459.6355524,1779261459.1922803,435,268.466,443.272,car_A
1779261459.707219,1779261459.3835785,437,280.988,323.640,car_A
1779261459.8912401,1779261459.487066,438,280.988,404.174,car_A
1779261460.0382645,1779261459.599742,439,256.843,438.523,car_A
1779261460.193965,1779261459.791729,441,265.789,402.236,car_A
1779261460.3332047,1779261459.9928567,443,204.147,340.348,car_A
1779261460.5892284,1779261460.0938551,444,252.962,495.373,car_A
1779261460.6960375,1779261460.19273,445,252.962,503.308,car_A
1779261460.9270897,1779261460.3379946,446,296.572,589.095,car_A
1779261461.091888,1779261460.556319,448,219.066,535.569,car_A
1779261461.3279335,1779261460.67,449,219.066,657.933,car_A
1779261461.5179195,1779261460.902365,451,288.138,615.555,car_A
1779261461.6999984,1779261461.091206,453,354.880,608.792,car_A
1779261461.8979785,1779261461.2963839,455,318.937,601.595,car_A
1779261462.0839255,1779261461.3951967,456,318.937,688.729,car_A
1779261462.2769575,1779261461.7154899,459,355.487,561.468,car_A
1779261462.4729183,1779261461.8146238,460,355.487,658.294,car_A
1779261462.6169744,1779261462.0540907,462,361.774,562.884,car_A
1779261462.814976,1779261462.2512245,464,378.915,563.751,car_A
1779261463.0069427,1779261462.445982,466,317.500,560.961,car_A
1779261463.1617308,1779261462.5439224,467,317.500,617.808,car_A
1779261463.3768005,1779261462.7524137,469,364.712,624.387,car_A
1779261463.5227854,1779261462.9591665,471,349.227,563.619,car_A
1779261463.694719,1779261463.1553211,473,354.042,539.398,car_A
1779261463.889709,1779261463.3544993,475,356.405,535.210,car_A
1779261464.0516646,1779261463.4538128,476,356.405,597.852,car_A
1779261464.255889,1779261463.6531055,478,350.781,602.783,car_A
1779261464.415599,1779261463.8575268,480,347.035,558.072,car_A
1779261464.6626754,1779261463.9560137,481,351.198,706.662,car_A
1779261464.8345788,1779261464.2541752,484,351.399,580.404,car_A
1779261465.0487735,1779261464.3575878,485,351.399,691.186,car_A
1779261465.2894702,1779261464.555639,487,352.311,733.831,car_A
1779261465.531525,1779261464.7567575,489,349.128,774.767,car_A
1779261465.7359307,1779261464.9550877,491,400.434,780.843,car_A
1779261465.9955163,1779261465.2574635,494,398.333,738.053,car_A
1779261466.3844285,1779261465.4545896,496,398.333,929.839,car_A
1779261466.636412,1779261465.6574252,498,449.545,978.987,car_A
1779261467.0133934,1779261465.860233,500,450.398,1153.160,car_A
1779261467.3762596,1779261466.155791,503,452.638,1220.469,car_A
1779261467.6762877,1779261466.4599314,506,449.228,1216.356,car_A
1779261468.0062692,1779261466.7595668,509,502.735,1246.702,car_A
1779261468.3418834,1779261467.1539197,513,551.136,1187.964,car_A
1779261468.6191707,1779261467.4984312,516,646.911,1120.739,car_A
1779261468.9926357,1779261467.8446813,519,671.385,1147.954,car_A
1779261469.2870276,1779261468.1582546,522,692.442,1128.773,car_A
1779261469.6170375,1779261468.4482126,525,699.412,1168.825,car_A
1779261469.8980858,1779261468.7507033,528,647.219,1147.382,car_A
1779261470.2449589,1779261469.0783982,531,626.201,1166.561,car_A
1779261470.511022,1779261469.379159,534,616.919,1131.863,car_A
1779261470.867004,1779261469.6864612,537,610.521,1180.543,car_A
1779261471.118954,1779261470.0987885,541,619.231,1020.165,car_A
1779261471.3729725,1779261470.3923464,544,619.231,980.626,car_A
1779261471.7418659,1779261470.5963078,546,657.042,1145.558,car_A
1779261471.9999678,1779261470.998629,550,608.638,1001.339,car_A
1779261472.2539425,1779261471.1931965,552,656.155,1060.746,car_A
1779261472.529618,1779261471.5940125,556,549.872,935.606,car_A
1779261472.9767256,1779261471.8965435,559,549.872,1080.182,car_A
1779261473.3295786,1779261472.0880396,561,650.185,1241.539,car_A
1779261473.6565554,1779261472.3921344,564,544.772,1264.421,car_A
1779261473.9914029,1779261472.693936,567,599.533,1297.467,car_A
1779261474.2564585,1779261473.0896213,571,550.027,1166.837,car_A
1779261474.5425293,1779261473.4910405,575,656.992,1051.489,car_A
1779261474.7956288,1779261473.7284586,577,656.992,1067.170,car_A
1779261475.1358712,1779261474.1237588,581,668.225,1012.112,car_A
1779261475.3947573,1779261474.350338,583,714.978,1044.419,car_A
1779261475.6513972,1779261474.6516826,586,630.430,999.715,car_A
1779261475.8975546,1779261474.950213,589,580.389,947.342,car_A
1779261476.154269,1779261475.253204,592,610.943,901.065,car_A
1779261476.4304128,1779261475.5512168,595,564.790,879.196,car_A
1779261476.6783614,1779261475.7531564,597,600.504,925.205,car_A
1779261476.9860697,1779261476.0512347,600,550.804,934.835,car_A
1779261477.2441614,1779261476.2493849,602,550.602,994.776,car_A
1779261477.5361881,1779261476.5648553,605,498.151,971.333,car_A
1779261477.801372,1779261476.8679264,608,505.523,933.446,car_A
1779261478.0519369,1779261477.169659,611,509.950,882.278,car_A
1779261478.3120148,1779261477.368057,613,509.950,943.958,car_A
1779261478.5599148,1779261477.6725018,616,559.402,887.413,car_A
1779261478.8121011,1779261477.874729,618,553.892,937.372,car_A
1779261479.0619247,1779261478.178228,621,503.464,883.697,car_A
1779261479.3140345,1779261478.475763,624,504.351,838.271,car_A
1779261479.573048,1779261478.7771764,627,502.744,795.872,car_A
1779261479.803936,1779261478.9737031,629,502.744,830.233,car_A
1779261480.0459266,1779261479.2787833,632,500.179,767.143,car_A
1779261480.2907016,1779261479.475889,634,500.179,814.813,car_A
1779261480.5226812,1779261479.7770867,637,449.353,745.595,car_A
1779261480.6926498,1779261479.977411,639,450.335,715.239,car_A
1779261480.9231348,1779261480.174442,641,450.335,748.693,car_A
1779261481.0856936,1779261480.3740754,643,447.895,711.618,car_A
1779261481.299756,1779261480.6762218,646,449.157,623.534,car_A
1779261481.462596,1779261480.878008,648,402.815,584.588,car_A
1779261481.6626053,1779261481.0916321,650,402.815,570.973,car_A
1779261481.8108218,1779261481.3001575,652,412.440,510.664,car_A
1779261481.957786,1779261481.402905,653,412.440,554.881,car_A
1779261482.158527,1779261481.6086774,655,363.405,549.850,car_A
1779261482.2865286,1779261481.827133,657,365.419,459.396,car_A
1779261482.4175754,1779261481.9196162,658,367.817,497.959,car_A
1779261482.5564861,1779261482.118895,660,309.797,437.591,car_A
1779261482.6965845,1779261482.3234367,662,358.080,373.148,car_A
1779261482.8224518,1779261482.4210749,663,357.451,401.377,car_A
1779261482.944428,1779261482.5227246,664,297.049,421.703,car_A
1779261483.0696003,1779261482.7190254,666,301.622,350.575,car_A
1779261483.1905098,1779261482.9232247,668,247.048,267.285,car_A
1779261483.3134108,1779261483.022622,669,251.148,290.789,car_A
1779261483.4075835,1779261483.1204267,670,250.017,287.157,car_A
1779261483.5288703,1779261483.2225907,671,250.017,306.280,car_A
1779261483.6305199,1779261483.3183699,672,251.850,312.150,car_A
1779261483.751425,1779261483.5205398,674,198.332,230.885,car_A
1779261483.8313963,1779261483.621319,675,200.132,210.077,car_A
1779261483.9283812,1779261483.7237754,676,199.439,204.606,car_A
1779261484.0304782,1779261483.8278112,677,202.781,202.667,car_A
